Automne	IFT2255	12345678	Michalis    Famelis	mfamelis@iro.umontreal.ca
<<<<<<< HEAD
Hiver	IFT2015	12345678	Leblanc Mathieu	mathieu@umontreal.ca
Hiver	IFT2125			a	
Ete	IFT2256			a	
Hiver	IFT2125	zz	z	z	z
Automne	IFT2255	214	daw	fe	gdg
Automne	IFT1227	2843	daad	das	diwn
Ete	IFT2256	x	x	x	x
Automne	IFT2255				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125			 	
Hiver	IFT2125			z	
Hiver	IFT2125			z	
Hiver	IFT2125		z	z	
Hiver	IFT2125		z	z	z
Hiver	IFT2125	z	z	z	z
=======
Hiver	IFT2015	12345678	Leblanc Mathieu	mathieu@umontreal.ca
>>>>>>> 97802cd620ac142d2933e944c873dc669a9669e4

Hiver	IFT1025				
Hiver	IFT1025				
Hiver	IFT1025			z	
Hiver	IFT1025			z	
Hiver	IFT1025			z	
Hiver	IFT1025			z	
Hiver	IFT1025	125346	scscsccs	ssfsvv	ivonvavmlsvm@umontreal.ca
Hiver	IFT1025	125346	scscsccs	ssfsvv	ivonvavmlsvm@umontreal.ca
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125			ss	
Hiver	IFT2125			ss	
Hiver	IFT2125		ss	ss	
Hiver	IFT2125		ss	ss	
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125		ss	ss	ssssdsd@umontreal.ca
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125			s	
Hiver	IFT2125			s	
Hiver	IFT2125			1	
Hiver	IFT2125			1	
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT1025				
Hiver	IFT1025				
Hiver	IFT1025			d	
Hiver	IFT1025			d	
Hiver	IFT1025	z	z	z	z
Hiver	IFT1025	z	z	z	z
Hiver	IFT1025	z	z	1	z
Hiver	IFT1025	z	z	1	z
Hiver	IFT1025	z		1	z
Hiver	IFT1025	z		1	z
Hiver	IFT1025	z			z
Hiver	IFT1025	z			z
Hiver	IFT1025				
Hiver	IFT1025				
Hiver	IFT1025				
Hiver	IFT1025				
Hiver	IFT1025	Z	Z	Z	Z
Hiver	IFT1025	Z	Z	Z	Z
Hiver	IFT1025	Z	Z	Z	Z
Hiver	IFT1025	Z	Z	Z	Z
Hiver	IFT1025	s	Z	Z	swd@umontreal.ca
Hiver	IFT1025	s	Z	Z	swd@umontreal.ca
Hiver	IFT2125	a	a	a	a
Hiver	IFT2125	a	a	a	a
Hiver	IFT2125	a	a	z	oce@umontreal.ca
Hiver	IFT2125	a	a	z	oce@umontreal.ca
Hiver	IFT2125	a	a	z	oce@umontreal.ca
Hiver	IFT2125	a	a	z	oce@umontreal.ca
Hiver	IFT2125	wdw	d	d	efelfm@umontreal.ca
Hiver	IFT2125	wdw	d	d	efelfm@umontreal.ca
Hiver	IFT2125	x	x	x	slcm@umontreal.ca
Hiver	IFT2125	x	x	x	slcm@umontreal.ca
Hiver	IFT1025	d	w	w	@umontreal.ca
Hiver	IFT1025	d	w	w	@umontreal.ca
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125	d	d	d	d
Hiver	IFT2125	1	d	d	d
Hiver	IFT2125	1	d	d	d
Hiver	IFT2125	a	d	d	d@umontreal.ca
Hiver	IFT2125	a	d	d	d@umontreal.ca
Hiver	IFT2125				
Hiver	IFT2125				
Hiver	IFT2125	a		a	
Hiver	IFT2125	a		a	
Automne	IFT1227	123455	H	Sarah	sarah.h
Automne	IFT1227	123455	H	Sarah	sarah.h
Automne	IFT1227	123455a	H	Sarah	sarah.h@umontreal.ca
Automne	IFT1227	123455a	H	Sarah	sarah.h@umontreal.ca
Automne	IFT2255	12344	H	Sarah	sarah.h
Automne	IFT2255	12344	H	Sarah	sarah.h
Automne	IFT2255	12344	H	Sarah	sarah.h@umontreal.ca
Automne	IFT2255	12344	H	Sarah	sarah.h@umontreal.ca
Automne	IFT2255	12345	He	Sarah	sarah.he
Automne	IFT2255	12345	He	Sarah	sarah.he
Automne	IFT2255	12345	He	Sarah	sarah.he@umontreal.ca
Automne	IFT2255	12345	He	Sarah	sarah.he@umontreal.ca
Automne	IFT2255	1234	H	Sarah	sara
Automne	IFT2255	1234	H	Sarah	sara
Automne	IFT2255	1234	H	Sarah	sara@umontreal.ca
Automne	IFT2255	1234	H	Sarah	sara@umontreal.ca
